wrongStep,ALTerm1,ALTerm2,ALOp1,ALTerm3,ALTerm4,ALOp2,ALTerm5,ALTerm6,ALOp3,ALTerm7,ALTerm8,ALOp4,ALTerm9,ALOp5,Lterm10,Lterm11,ARTerm1,ARTerm2,AROp1,ARTerm3,ARTerm4,AROp2,ARTerm5,ARTerm6,AROp3,ARTerm7,ARTerm8
x=-5,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-a,none,none,none,none,none,none,none,none,none,none
x=-4,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-a,none,none,none,none,none,none,none,none,none,none
x=-8,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-a,none,none,none,none,none,none,none,none,none,none
x=-4,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-a,none,none,none,none,none,none,none,none,none,none
x=1,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none
x=44,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=24,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=-10,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none
x=-24,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none
x=-2,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-a,none,none,none,none,none,none,none,none,none,none
x=-7,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-a,none,none,none,none,none,none,none,none,none,none
x=7,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none
x=0,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,z,none,none,none,none,none,none,none,none,none,none
x=-6,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-a,none,none,none,none,none,none,none,none,none,none
x=-6,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-a,none,none,none,none,none,none,none,none,none,none
x=-24,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none
x=32,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=-25,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none
x=36,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=-33,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none
x=-32,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none
x=-31,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none
x=-22,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none
x=17,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=-21,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none
x=9,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none
x=18,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=22,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=-22,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none
x=22,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=-12,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none
x=0,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,z,none,none,none,none,none,none,none,none,none,none
x=1,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none
x=-13,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none
x=13,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=19,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=-19,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none
x=-19,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none
x-13+13=-17+13,x,none,-,bb,none,+,cc,none,none,none,none,none,none,none,none,none,-aa,none,+,bb,none,none,none,none,none,none,none
x=-18,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none
x-73+13=-11+13,x,none,-,bb,none,+,cc,none,none,none,none,none,none,none,none,none,-aa,none,+,bb,none,none,none,none,none,none,none
x=28,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=2,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none
x=23,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x-6+6=23+6,x,none,-,b,none,+,c,none,none,none,none,none,none,none,none,none,aa,none,+,b,none,none,none,none,none,none,none
x=4,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none
x=-21,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none
x=-22,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none
x+2-2=10-2,x,none,+,b,none,-,c,none,none,none,none,none,none,none,none,none,aa,none,-,b,none,none,none,none,none,none,none
x+2-2=10-2,x,none,+,b,none,-,c,none,none,none,none,none,none,none,none,none,aa,none,-,b,none,none,none,none,none,none,none
x+2-2=10-2,x,none,+,b,none,-,c,none,none,none,none,none,none,none,none,none,aa,none,-,b,none,none,none,none,none,none,none
x+2-2=10-2,x,none,+,b,none,-,c,none,none,none,none,none,none,none,none,none,aa,none,-,b,none,none,none,none,none,none,none
x+2-2=10-2,x,none,+,b,none,-,c,none,none,none,none,none,none,none,none,none,aa,none,-,b,none,none,none,none,none,none,none
x+2-2=10-2,x,none,+,b,none,-,c,none,none,none,none,none,none,none,none,none,aa,none,-,b,none,none,none,none,none,none,none
x+2-2=10-2,x,none,+,b,none,-,c,none,none,none,none,none,none,none,none,none,aa,none,-,b,none,none,none,none,none,none,none
x+2-2=10-2,x,none,+,b,none,-,c,none,none,none,none,none,none,none,none,none,aa,none,-,b,none,none,none,none,none,none,none
x+2-2=12-2,x,none,+,b,none,-,c,none,none,none,none,none,none,none,none,none,aa,none,-,b,none,none,none,none,none,none,none
x+2-2=12-2,x,none,+,b,none,-,c,none,none,none,none,none,none,none,none,none,aa,none,-,b,none,none,none,none,none,none,none
x-7=12-7,x,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,-,b,none,none,none,none,none,none,none
x-7=12-7,x,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,-,b,none,none,none,none,none,none,none
x+8=15-8,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,-,b,none,none,none,none,none,none,none
x+9-9=-19+9,x,none,+,b,none,-,c,none,none,none,none,none,none,none,none,none,-aa,none,+,b,none,none,none,none,none,none,none
x=2,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none
x=15,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x+12=27-12,x,none,+,bb,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,-,bb,none,none,none,none,none,none,none
x+12=27-12,x,none,+,bb,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,-,bb,none,none,none,none,none,none,none
x+12=27-12,x,none,+,bb,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,-,bb,none,none,none,none,none,none,none
x=4,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none
x=+5-5,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,-,b,none,none,none,none,none,none,none
x=+5-4,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,-,b,none,none,none,none,none,none,none
x=-18,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none
x=-8,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-a,none,none,none,none,none,none,none,none,none,none
x=-18,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none
x=17,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=-29,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none
x+3-3=15-15,x,none,+,b,none,-,c,none,none,none,none,none,none,none,none,none,aa,none,-,bb,none,none,none,none,none,none,none
x+8-8=15,x,none,+,b,none,-,c,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none
x=9,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none
x+5-5=-4+4,x,none,+,b,none,-,c,none,none,none,none,none,none,none,none,none,-a,none,+,b,none,none,none,none,none,none,none
x+5-5=-4+4,x,none,+,b,none,-,c,none,none,none,none,none,none,none,none,none,-a,none,+,b,none,none,none,none,none,none,none
x+5-5=-4+5,x,none,+,b,none,-,c,none,none,none,none,none,none,none,none,none,-a,none,+,b,none,none,none,none,none,none,none
